date,close,divident,ratio,detail,low_n,high_n,RSV,k,d,j,signal_long,signal_short,signal_div
2023-05-29,7.41,,,,7.29,7.68,30.8,13.978380666903757,10.172627253072303,21.58988749456666,True,False,False
2023-06-30,7.24,,,,7.16,7.43,29.6,16.543851954433368,14.553819857425129,20.52391614844985,True,False,False
2023-07-21,7.12,3.2,,"10派3.20元(含税,扣税后2.88元)",7.12,7.44,0.0,56.64525873230921,70.75251219297067,28.430751810986294,False,False,True
2023-08-23,7.02,,,,6.96,7.23,22.2,11.848398498443915,11.274462238685823,12.996271017960101,True,False,False
2023-09-26,7.15,,,,7.07,7.18,72.7,81.5643951652071,81.76632147954899,81.16054253652334,False,True,False
2023-12-22,6.58,,,,6.53,6.71,27.8,16.78037347571679,13.95831762205269,22.424485183044993,True,False,False
2024-01-31,6.83,,,,6.59,6.9,77.4,85.89523723297542,86.53044251875093,84.62482666142438,False,True,False
2024-02-07,6.94,,,,6.8,7.0,70.0,83.11706827759346,84.64932844866411,80.05254793545217,False,True,False
2024-04-11,7.24,,,,7.13,7.28,73.3,85.37821922296797,87.84276562878962,80.44912641132467,False,True,False
2024-05-08,7.8,,,,7.34,7.85,90.2,95.16983930959562,96.61819257781703,92.27313277315281,False,True,False
2024-05-14,7.88,,,,7.42,7.96,85.2,93.10515344387073,95.0721932491742,89.17107383326379,False,True,False
2024-05-24,8.44,,,,7.88,8.53,86.2,94.27284244499783,95.93530450990258,90.94791831518836,False,True,False
2024-05-29,8.49,,,,8.16,8.54,86.8,93.9030644281475,95.63204354219269,90.44510620005713,False,True,False
2024-07-18,8.77,3.21,,"10派3.21元(含税,扣税后2.889元)",8.43,9.04,55.7,82.71971234257498,89.21471202057202,69.72971298658089,False,True,True
2024-08-26,8.88,,,,8.57,9.02,68.9,85.33086325367617,88.95376060119341,78.0850685586417,False,True,False
2024-09-09,8.38,,,,8.25,8.82,22.8,18.43182448427178,17.559787025941784,20.17589940093177,True,False,False
2024-10-09,9.91,,,,8.51,10.5,70.4,89.03034733061551,91.96795505223977,83.15513188736696,False,True,False
2024-11-01,9.94,,,,9.84,10.18,29.4,11.74359698992573,10.640745881316134,13.949299207144922,True,False,False
2024-11-28,9.44,,,,9.31,9.83,25.0,18.53319098238559,18.311628932437763,18.976315082281246,True,False,False
2025-05-16,12.1,,,,11.17,12.29,83.0,93.49216403672648,95.7138538146352,89.04878448090903,False,True,False
2025-05-23,12.23,,,,12.0,12.43,53.5,80.76892695133844,88.48501538008395,65.33675009384743,False,True,False
2025-07-08,14.23,,,,13.55,14.6,64.8,87.83758349475815,94.94815315906308,73.61644416614826,False,True,False
2025-07-16,13.48,4.1,,"10派4.10元(含税,扣税后3.69元)",13.48,14.6,0.0,22.55803202148768,41.94388544514276,-16.21367482582248,False,False,True
2025-07-30,12.88,,,,12.79,13.48,13.0,6.180602970245108,5.70585143404919,7.1301060426369425,True,False,False
2025-08-01,12.92,,,,12.79,13.33,24.1,11.424712431220048,7.474631147057449,19.324874999545248,True,False,False
2025-11-05,11.86,,,,11.41,12.98,28.7,14.949623206213476,14.370402013386206,16.108065591868016,True,False,False
